pid,birthyr,age,male1,educ,faminc,region,trump
6,1986,32,2,4,3,1,93
6,1972,46,2,6,4,3,2
3,1999,19,2,2,NA,1,16
4,1975,43,2,3,3,3,4
6,1989,29,2,3,4,1,83
2,1992,26,2,1,2,3,2
3,1960,58,1,6,NA,4,1
7,1962,56,2,3,3,4,100
7,1978,40,2,3,12,1,81
2,1957,61,2,5,3,3,1
1,1968,50,1,5,14,1,1
7,1987,31,2,6,12,3,96
6,1951,67,2,3,3,3,94
1,1952,66,1,5,5,4,0
4,1969,49,2,2,3,1,50
1,1980,38,1,5,10,3,0
5,1948,70,2,6,10,2,100
3,1965,53,2,5,NA,3,32
2,1973,45,2,6,11,2,41
1,1983,35,1,6,9,4,1
1,1985,33,1,5,12,4,71
1,1953,65,2,6,7,2,3
1,1958,60,2,5,NA,2,0
4,1983,35,1,6,7,4,0
4,1989,29,2,6,2,1,1
7,1959,59,2,2,4,3,100
2,1947,71,1,5,3,1,3
3,1951,67,2,6,8,4,1
4,1969,49,1,3,1,2,13
1,1949,69,2,6,10,2,1
6,1999,19,1,3,9,2,10
3,1986,32,1,1,3,1,1
1,1964,54,2,3,7,3,1
7,1946,72,2,3,3,3,97
1,1969,49,1,5,12,2,6
NA,1980,38,2,2,3,4,50
1,1958,60,2,6,11,3,0
1,1930,88,1,3,7,1,0
6,1949,69,2,3,NA,3,100
4,1967,51,2,1,1,4,50
7,1935,83,1,3,9,4,100
7,1951,67,1,6,10,3,99
5,1959,59,1,5,11,1,100
5,1958,60,2,3,NA,4,65
1,1945,73,2,5,4,1,3
7,1955,63,1,3,8,4,100
3,1953,65,2,5,4,1,0
1,1958,60,2,5,11,3,1
7,1942,76,2,4,8,3,70
1,1940,78,2,4,NA,1,NA
7,1936,82,1,3,4,3,NA
1,1950,68,2,5,6,2,0
2,1956,62,1,6,2,2,1
3,1950,68,1,5,6,3,1
3,1942,76,2,6,8,1,1
5,1940,78,1,6,8,3,100
7,1959,59,2,2,3,1,99
4,1957,61,1,6,12,1,1
4,1948,70,1,6,10,3,0
4,1954,64,1,6,4,3,2
1,1968,50,2,5,7,3,1
6,1944,74,1,5,2,4,95
7,1954,64,2,3,4,1,100
1,1946,72,1,6,11,3,0
7,1953,65,1,3,12,3,100
1,1953,65,2,6,8,3,2
1,1978,40,2,6,10,4,0
3,1951,67,2,3,7,3,0
1,1937,81,2,5,NA,1,0
1,1941,77,1,5,9,1,2
1,1949,69,1,5,4,3,5
1,1942,76,1,5,9,4,1
1,1956,62,1,5,9,4,0
1,1952,66,1,5,4,1,0
3,1945,73,2,3,NA,3,0
6,1964,54,2,5,13,1,79
4,1968,50,1,6,7,2,31
2,1959,59,2,5,11,1,0
1,1962,56,2,6,NA,3,3
4,1938,80,1,3,1,4,25
1,1945,73,1,6,14,2,10
1,1963,55,2,5,4,2,5
1,1938,80,1,6,12,4,2
7,1958,60,2,6,9,4,100
3,1956,62,2,4,4,3,1
7,1946,72,1,3,5,4,100
7,1959,59,2,6,6,2,100
7,1952,66,1,6,10,1,40
1,1970,48,2,5,9,2,0
1,1941,77,1,3,4,4,0
2,1957,61,2,5,4,1,50
3,1949,69,2,4,10,1,1
5,1949,69,1,6,6,2,98
1,1988,30,1,5,10,2,1
3,1949,69,1,5,8,3,10
2,1960,58,2,5,4,2,11
6,1949,69,1,5,3,2,89
1,1958,60,2,4,5,3,0
2,1969,49,2,6,6,3,0
7,1950,68,2,6,10,3,100
3,1943,75,2,3,2,1,2
1,1955,63,1,6,7,2,1
7,1953,65,1,4,6,4,100
4,1948,70,1,5,16,1,0
5,1946,72,2,6,3,3,72
3,1961,57,2,3,11,4,41
1,1947,71,1,3,5,2,1
5,1947,71,1,6,NA,4,91
1,1956,62,2,5,9,3,1
2,1951,67,2,4,5,4,18
1,1986,32,1,6,8,1,0
6,1931,87,1,6,NA,2,72
7,1949,69,1,5,NA,2,98
2,1941,77,2,5,4,3,5
4,1956,62,2,2,5,2,0
7,1934,84,1,5,10,3,100
7,1952,66,2,4,7,3,100
7,1942,76,1,5,NA,3,98
1,1964,54,2,6,14,3,2
6,1945,73,2,5,NA,1,71
4,1963,55,1,5,10,3,0
4,1955,63,2,5,11,3,85
6,1971,47,2,5,7,4,45
7,1940,78,2,6,5,2,96
6,1962,56,2,5,3,3,72
7,1942,76,1,5,NA,3,93
5,1956,62,1,5,8,2,66
2,1954,64,2,5,12,1,8
3,1954,64,2,5,4,2,5
4,1963,55,2,5,7,4,26
7,1959,59,2,5,14,3,100
6,1963,55,2,6,13,2,49
1,1949,69,2,5,2,2,9
6,1964,54,2,6,12,4,100
2,1958,60,2,5,3,3,29
1,1961,57,2,6,11,1,4
1,1973,45,2,4,11,3,80
1,1990,28,1,2,8,3,1
6,1941,77,1,6,7,4,100
7,1975,43,2,6,14,4,56
2,1944,74,1,3,7,3,11
7,1944,74,1,6,12,2,96
7,1949,69,1,3,5,2,100
1,1944,74,2,3,11,2,0
5,1985,33,2,5,5,1,40
5,1982,36,1,3,2,3,100
6,1961,57,1,3,9,3,99
1,1985,33,1,2,1,3,0
7,1952,66,1,3,9,4,100
5,1963,55,2,4,3,1,22
3,1954,64,1,4,4,3,1
1,1966,52,1,5,NA,4,0
7,1968,50,1,3,NA,3,78
7,1950,68,2,3,NA,3,99
1,1956,62,2,6,6,4,0
7,1954,64,1,3,NA,2,100
2,1985,33,2,5,5,2,1
3,1956,62,2,3,4,2,25
4,1981,37,2,5,6,3,69
5,1966,52,1,2,NA,2,98
7,1962,56,2,3,8,2,85
6,1992,26,2,5,5,2,67
1,1945,73,2,5,3,4,1
7,1994,24,2,1,1,3,94
1,1956,62,2,3,10,2,0
6,1977,41,1,4,10,2,65
7,1958,60,1,5,11,1,100
2,1956,62,2,3,4,4,61
5,1951,67,2,2,NA,1,65
5,1949,69,1,4,3,3,91
6,1939,79,1,3,6,4,98
6,1951,67,2,6,NA,3,94
4,1960,58,2,5,8,3,0
1,1947,71,2,3,NA,3,4
1,1952,66,2,2,NA,1,0
4,1957,61,1,5,11,3,2
4,1985,33,1,5,1,4,26
7,1947,71,1,3,3,3,100
5,1996,22,1,3,NA,1,71
6,1971,47,2,6,9,1,42
5,1956,62,1,5,8,1,100
1,1947,71,1,5,10,3,1
4,1967,51,1,3,6,3,0
7,1948,70,1,2,5,2,98
3,1986,32,2,4,NA,2,6
NA,2000,18,2,2,1,4,5
6,1938,80,1,3,3,3,100
1,1952,66,2,5,2,1,0
1,1955,63,1,6,10,3,1
4,1949,69,2,2,3,2,44
3,1955,63,1,3,1,2,0
4,1951,67,2,5,2,3,99
1,1962,56,2,3,1,2,4
2,1977,41,2,2,5,3,51
7,1955,63,2,3,2,3,88
6,1953,65,1,2,4,2,100
1,1945,73,1,4,12,1,11
2,1961,57,2,3,NA,4,12
1,1980,38,1,3,7,1,2
4,1954,64,1,5,11,3,100
1,1947,71,2,6,8,4,9
7,1947,71,1,5,8,1,71
1,1948,70,2,4,5,4,0
5,1946,72,1,4,3,2,66
2,1989,29,2,4,NA,3,4
2,1970,48,2,4,3,3,3
6,1954,64,2,5,5,1,1
3,2000,18,2,3,11,3,0
